tweetsad,,,,,y
1487856347.4049718::Truly hate when things are a mess,,,,,0
1487856347.451801::RT @scottbix: Fact: Trans people have way more to fear from cis people in bathrooms than cis people have to fear from trans people in bathr\u2026,,,,,0
1487856347.451801::@Prufrockery *sad,,,,,0
1487856347.831386::RT @flusters: When you're sad so your coworker\/new friend brings you a Stegosaurus cookie.1487856347.8468962::RT @BeyondBrokenDep: being sad for no reason is worse than being sad for a reason because there's absolutely nothing you can do to make you\u2026,,,,,0
1487856348.6662936::I hate two-months-ago me,,,,,0
"1487856348.681823::you know the hate is real if jomel takes to fb to rant about the \""answer key\""",,,,,0
1487856348.681823::I hate England. There's a storm right now called Storm Doris but they keep calling it Storm Doris Day.\ud83d\ude44,,,,,0
1487856348.681823::RT @TZZToday: SAD this VET lost his home there are NO protections for Military! Treasury Sec Mnuchin personally managed SEIZING h\u2026 ,,,,,0
1487856348.6974325::Help, I hate my (Traditional) Network Carrier ,,,,0
"1487856348.6974325::RT @gyuyomizizi: fanmeeting:\n\""Fans are\nPeople we cant hate\nAnd are lovable people-1487856348.6974325::Angry crowd greets Cassidy at town hall ",,,,,0
1487856348.7130744::RT @FlirtyNotes: Right person, wrong time. I hate that..,,,,0
1487856348.7130744::I love him but at the sime time I hate him, too,,,,0
1487856348.7443235::RT @DocumentHate: \u201cWe are seeing a real rash of fear and hatred directed at immigrants in general.\u201d https:\/\/t.co\/DuugW9fPT8,,,,,0
1487856348.9162982::wrong, my real name is maria, but i hate it so please don't call me that1487856349.0099761::Too much fear \ud83d\ude1e,,,0
1487856349.024028::#WhatDrivesMeCrazy  Also, when someone says," \""I want to be a writer"," but I hate reading.\""",,0
1487856349.0350215::RT @shabnamkandyy: When someone wishes ill on your relationship, imagine being that miserable...,,,,0
1487856349.0400248::RT @Salvesayson: I hate it when you have to be nice to someone you really want to throw a brick at. #DestinedToBeYoursIn4Days #ALDUB84thWee\u2026,,,,,0
1487856349.046031::father says i don't have the balls to be a soldier.. i was so angry.. but.. he was right. i'm a fuckin pretty princess!,,,,,0
1487856349.0510333::hate life,,,,,0
1487856349.058038::This is a thing?? I must be getting old https,,,,,0
1487856349.2898643::I hate this Doris bitch,,,,,0
1487856350.0075128::RT @elzerocinco: I would've done the same thing too... RIP , people out here taking lives for what?? 5 bills ?? dam shit so sad bro.\u2026 ,,,,0
1487856350.194974::RT @___waavyy: ill take one for my moms anyday https:\/\/t.co\/4TV9oShZ40,,,,,0
1487856350.194974::@HappyJoypy remember that they trust you and you are capable of doing it. But if you ultimately hate it, then talk to him again,,,,0
1487856350.194974::RT @BraddJaffy: Angry constituents confront Chuck Grassley in Iowa:,,,,,0
1487856350.319976::RT @FamousWomen: Don't hate what you don't understand.,,,,,0
1487856350.335546::RT @lexicruickshank: it's really early and that makes me really sad,,,,,0
1487856350.335546::RT @leialisbon: I think that the Corbynistas actually hate Tony Blair and New Labour more than they hate the Tories and UKIP put together.\u2026,,,,,0
"1487856350.838684::makes me sad to be an American https:\/\/t.co\/KEWrqpbQoQ""",display_text_range:[0,30],"source:""\u003ca href=\""http:\/\/twitter.com\"" rel=\""nofollow\""\u003eTwitter Web Client\u003c\/a\u003e""",truncated:false,0
1487856350.838684::RT @rrussdiemon: Feel more. Stop letting fear of getting played prevent you from catching natural human feelings.,,,,,0
1487856350.8542137::@realDonaldTrump good for u leather face... sad,,,,,0
1487856350.8542137::@mintyfresh187 @Blackbird2424 @ZHiveBaby go get yourself a life and suck on a dick maybe that would make you a happ,,,,,0
1487856350.8542137::SAD ,,,,,0
1487856353.939568::RT @BekaTayz: @kelpzyt @8kldd do not trust these people. They make cancer jokes and hate lgbt+ https:\/\/t.co\/wqcBnYpUNH,,,,,0
1487856353.9550922::RT @Jmarti95995920A: Yes let them hate us for free screw these idiots\ud83d\udc47\ud83c\udffb\ud83d\udc47\ud83c\udffb\ud83d\udc47\ud83c\udffb\ud83d\ude02\ud83d\ude02\ud83d\ude02 https:\/\/t.co\/6a9QGMG1D7,,,,,0
1487856353.9550922::@papergirlmacy Thanks, Macy. I fear it may only get more relevant going forward--I hope I'm wrong.,,,,0
1487856355.229481::RT @GlobalJusticeUK: Why does Boris Johnson hate small-scale farmers? Watch the 1 minute animation &amp; then take action &gt;&gt;\u2026 ,,,,,0
1487856355.8134809::RT @AmazingPhil: Today's purchase was an angry pink hippo lamp. It seemed really important at the time https:\/\/t.co\/U3uz72molM,,,,,0
1487856355.8134809::RT @DebAlwaystrump: DEMS &amp; PET MEDIA\nlose 18 million voters \nAMERICANS DONT LIKE\ud83d\udeab\nYOUR HATE &amp; LIES\nYOUR violent PAID protests\nYOUR open\u2026 ,,,,,0
1487856356.3545232::RT @Glinner: This is amazing. https:\/\/t.co\/sCRnRfMtK9,,,,,0
1487856356.3700492::RT @emanzulx: I hate missing someone who probably doesn't miss me,,,,,0
1487856356.385767::hate life,,,,,0
1487856356.4170203::Its not like i against brazillian wax.\nBut girls, shouldnt you at least know the limit in showing your aurat?\nHonestly, i kinda sad tho\ud83d\ude15,,,0
1487856356.4170203::I. Hate. This. ,,,,,0
1487856356.9014006::im watching a space shuttle documentary and its so sad bc they keep talking about the columbia and challenger buT WE ALL KNOW THEY DIED,,,,,0
1487856357.4790347::@Aangelicacg sad hahaha,,,,,0
1487856357.4790347::Sri Lanka 'hunting' refugees who sheltered Snowden in Hong Kong: Sri Lankan asylum seekers in Hong Kong fear they\u2026 https:\/\/t.co\/j762uxPIHa,,,,,0
1487856357.494663::RT @ghmaddrey: DO NOT listen to the lies coming from the failing @NCAA. These are FAKE allegations. Sad. #NotMyNCAA,,,,,0
1487856357.494663::Why does the passholders website on Disney never work? It makes me angry at stitch,,,,,0
1487856357.494663::laws to followed?\ud83d\ude02 The Death of Compassion is ,,,,,0
1487856357.5102882::RT @sunny_hundal: Wow. Trump advisor Sebastian Gorka sounds completely deranged in this phone-call, threatens to sue terrorism expert https\u2026,,,,0
1487856357.8854005::@NicNxxx @mayak215 @OriginalGuest @KimYMcLendon @theinquisitr Those children are terminally ill Nicole..,,,,,0
1487856357.8854005::RT @bieberdepth: MY MANS COULD HAVE BROUGHT BACK THE QUIFF BUT HE'S TOO LAZY I HATE HIS LEMON HEAD https:\/\/t.co\/7q16GGc99e,,,,,0
1487856357.900918::i hate school,,,,,0
1487856358.1494741::RT @scottbix: Fact: Trans people have way more to fear from cis people in bathrooms than cis people have to fear from trans people in bathr\u2026,,,,,0
1487856358.1494741::GOOGLE launches robo-tool to flag hate speech online...: https:\/\/t.co\/jqzfVOHNwH,,,,,0
1487856358.1650317::RT @belovedhoweII: depression (5)\n''everyone gets a little sad sometimes''\nyeah sadness is a normal emotion depression is a mental illness,\u2026,,,,0
1487856358.3995132::@Holly11012962 NOOOOOOOOOOO ,,,,,0
1487856359.0245326::One way to avoid angry constituents: Take a mystery European vacation! Nicely done @marcorubio https:\/\/t.co\/eOw6n4xS4m,,,,,0
1487856359.0245326::RT @esperanzaeli15: SERIOUSLY, LET ME KNOW YOU'RE BUSY!!! I fucking hate bullshitted excuses 3 hours later https:\/\/t.co\/MhuUQzaQp1,,,,0
1487856359.0400443::RT @Usvma: Rt this and ill make a meme out of ur avi.,,,,,0
1487856359.3056734::RT @pauljac3_: just got up i am sad,,,,,0
1487856360.9747927::RT @lillylee__: \ud83d\udc4f\ud83c\udffd \ud83d\udc4f\ud83c\udffd \ud83d\udc4f\ud83c\udffd \ud83d\udc4f\ud83c\udffd https:\/\/t.co\/B0Pq2bcJCZ,,,,,0
"1487856360.9747927::RT @nytimes: \""We fear that too much is at stake to be silent any longer.\"" (via The New York Times Opinion Section) https:\/\/t.co\/JsbW4aq5m2",,,,,0
1487856360.9903095::RT @_johnnaaa: niggas hate and be right in yo face.,,,,,0
1487856360.9903095::Loud and angry, protesters turn congressional town halls into must-see political TV https:\/\/t.co\/7bjM75BLzs,,,,0
1487856361.787304::I!!! HATE!!! THIS!!! FEELING!!!,,,,,0
"1487856362.4337037::RT @AshrafAriff: It's \""Choke me"," daddy\"" in 2017. https:\/\/t.co\/sWUzTMw1fJ",,,,0
1487856362.4337037::Sri Lanka 'hunting' refugees who sheltered Snowden in Hong Kong: Sri Lankan asylum seekers in Hong Kong fear they\u2026 https:\/\/t.co\/vTiFtVTv49,,,,,0
1487856363.7577076::RT @jeoncrack: wow this makes me so sad and so happy at the same time? https:\/\/t.co\/IATHIdfnAJ,,,,,0
1487856364.0077791::To make you hate them more, this ain't the first time such thing has happened k bye 1487856364.2733276::RT @YesungSuperFan_: #Yesung #\uc608\uc131 said that he (heard) that there is people who didn't like it and showed hate! Then he crused them \ud83d\ude02\ud83d\ude02\nHe sa\u2026,,,,0
1487856365.1795933::RT @Salvesayson: I hate it when you have to be nice to someone you really want to throw a brick at. #DestinedToBeYoursIn4Days #ALDUB84thWee\u2026,,,,,0
1487856365.6014714::RT @CounterMoonbat: Why is Paris fear-mongering @stuartpstevens? https:\/\/t.co\/AocQiuKwuG,,,,,0
1487856366.3359392::Failing to understand hate, Hope not Hate becomes platform for Home Office propaganda | CAGE https:\/\/t.co\/FFMgpx61mm via @UK_CAGE,,,,0
1487856366.382713::RT @RoseofGolds: I PROMISE YOU, if he prays, and obey Allah, He will fear Allah to break your heart. This type of marriage will never break.,,0
1487856366.3983386::RT @Baella5sos: some days i love the way i look and am so confident than other days i hate myself and want to throw myself down a flight of\u2026,,,,,0
1487856366.3983386::HERKESE HAYIRLI,,,,,0
